id_bloque,nivel,x,y,z,toneladas,volumen_m3,lado_bloque_m,lado_x,lado_y,lado_z,volumen_estandar_m3,volumen_esteril_agregado,factor_dilucion,dilucion_planificada_%,clasificacion
179,2,940.2302414249576,755.137255673619,-53.05370847452116,1248.2751594023573,462.32,7.73,10,10,10,1000,537.68,0.46,53.77,Requiere Dilución
180,6,575.4741778758789,620.3095513534647,-105.70139438773464,3821.151273918667,1415.24,11.23,10,10,10,1000,-415.24,1.42,-29.34,Requiere Selectividad
181,6,388.1699262065219,704.0797680992235,-424.1625601336244,872.5940056630691,323.18,6.86,10,10,10,1000,676.82,0.32,67.68,Requiere Dilución
182,1,643.2882184423531,212.9641615089108,-344.1389661022259,3214.184492598747,1190.44,10.6,10,10,10,1000,-190.44,1.19,-16.0,Requiere Selectividad
183,9,458.2528904915166,136.37147558676978,-375.7554300927672,1604.0709935659445,594.1,8.41,10,10,10,1000,405.9,0.59,40.59,Requiere Dilución
184,6,545.616789315935,14.54466566788193,-128.02685371366152,2251.8302631888946,834.01,9.41,10,10,10,1000,165.99,0.83,16.6,Requiere Dilución
185,3,941.4648087765252,350.587558806597,-483.2337826321103,1799.1218154681494,666.34,8.73,10,10,10,1000,333.66,0.67,33.37,Requiere Dilución
186,4,386.10263780077423,589.9176868546331,-215.05515756434176,2100.527224092272,777.97,9.2,10,10,10,1000,222.03,0.78,22.2,Requiere Dilución
187,4,961.1905638239142,392.2440450997323,-118.77065712965477,3735.7065733291047,1383.6,11.14,10,10,10,1000,-383.6,1.38,-27.72,Requiere Selectividad
188,3,905.3506419560638,437.47492202372905,-61.61718161912529,1837.047720304288,680.39,8.8,10,10,10,1000,319.61,0.68,31.96,Requiere Dilución
189,3,195.79113478929645,904.1586944937484,-328.9591256420463,3048.820881336037,1129.19,10.41,10,10,10,1000,-129.19,1.13,-11.44,Requiere Selectividad
190,3,69.36130087516545,348.25546702330035,-89.37134766399356,2642.2268098959485,978.6,9.93,10,10,10,1000,21.4,0.98,2.14,Requiere Dilución
191,4,100.77800137742663,513.9894891598108,-444.6841315223964,3486.520244131917,1291.3,10.89,10,10,10,1000,-291.3,1.29,-22.56,Requiere Selectividad
192,7,18.22182565154973,783.6530127411431,-76.7738541327409,4715.733826961411,1746.57,12.04,10,10,10,1000,-746.57,1.75,-42.74,Requiere Selectividad
193,4,94.4429607559284,396.5427823212702,-436.2556688340088,3796.574437446128,1406.14,11.2,10,10,10,1000,-406.14,1.41,-28.88,Requiere Selectividad
194,9,683.0067734163569,622.0867002278735,-301.35635471981635,1467.2317036584054,543.42,8.16,10,10,10,1000,456.58,0.54,45.66,Requiere Dilución
195,1,71.18864846022899,862.3637087467451,-101.35231711022315,640.324107775781,237.16,6.19,10,10,10,1000,762.84,0.24,76.28,Requiere Dilución
196,8,318.9756302937613,949.520623657642,-425.0412863256131,1680.188199349213,622.29,8.54,10,10,10,1000,377.71,0.62,37.77,Requiere Dilución
197,7,844.8753109694545,147.07348092903794,-385.37430238367926,3177.850688151146,1176.98,10.56,10,10,10,1000,-176.98,1.18,-15.04,Requiere Selectividad
198,2,23.271935735825867,926.5876251614944,-138.87371580346684,731.4161606791265,270.89,6.47,10,10,10,1000,729.11,0.27,72.91,Requiere Dilución
199,8,814.4684825889358,492.1162930795382,-139.98173172696283,2733.648112405564,1012.46,10.04,10,10,10,1000,-12.46,1.01,-1.23,Requiere Selectividad
